role1	role2	genomes
LSU ribosomal protein L30p (L7e)	SSU ribosomal protein S14p (S29e), zinc-independent	2490941.3,557993.3,247481.57,727.1550,518.42,2067454.3,36868.4,1408417.3,1437881.3,1647103.3,1947784.3,190304.8,1946934.3,379066.3,59196.3,203907.6,2024841.10,37692.4,376620.10,1715285.3,295320.3,1241833.3
ABC transporter, ATP-binding protein (cluster 1, maltose/g3p/polyamine/iron)	ABC transporter, permease protein (cluster 10, nitrate/sulfonate/bicarbonate)	1121447.3,406327.12,444157.8,608534.3,1491.958,1737569.3,349741.6,374847.13,479430.3,309798.4,518.42,525904.6,159.151,394503.7,1704307.4,1805053.3,525909.11,1548207.7,1121911.3,339860.19,679936.5
Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	1294039.3,938289.3,2183990.3,1884905.18,2003555.3,2069310.3,1002870.3,1260.19,1946522.3,754252.34
KH domain RNA binding protein YlqC	Ribonuclease HII (EC 3.1.26.4)	1121447.3,608534.3,2183990.3,1491.958,2023178.18,2069310.3,1002870.3,1260.19,1946283.3,479430.3,1408281.4,394503.7,454171.5,938289.3,1805053.3,166793.3,1946798.3,1121911.3,266117.10
Cobalt-precorrin-3 C(17)-methyltransferase (EC 2.1.1.272)	Cobalt-precorrin-4 C(11)-methyltransferase (EC 2.1.1.271)	1639.4260,444157.8,64091.14,1491.958,1737569.3,479430.3,394503.7,190304.8,349307.15,1577791.3,1435377.6,754252.34,1121911.3,1947072.3,679936.5,266117.10
Ubiquinol-cytochrome C reductase, cytochrome B subunit (EC 1.10.2.2)	Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)	2490941.3,2183990.3,1737569.3,716544.4,1401685.3,2069310.3,1079.16,210.5028,479430.3,1123388.3,518.42,1294039.3,1437881.3,1647103.3,489703.3,1391995.3,1884905.18,1946934.3,59196.3,2024841.10,525909.11,137778.5,1946522.3,376620.10
Cobalt-precorrin-4 C(11)-methyltransferase (EC 2.1.1.271)	Cobalt-precorrin-7 (C5)-methyltransferase (EC 2.1.1.289)	1121447.3,1639.4260,1491.958,1737569.3,479430.3,263820.9,166793.3,349307.15,525909.11,1435377.6,754252.34,679936.5,266117.10
LSU ribosomal protein L11e (L5p)	Protein translocase subunit SecY	415426.13,406327.12,64091.14,1915863.3,349307.15,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	1121447.3,1882918.15,2183990.3,572547.3,263820.9,525904.6,159.151,1294039.3,1704307.4,1609969.5,59196.3,2024841.10,525909.11,754252.34,1121911.3,266117.10,1002870.3,479434.6,479430.3,518.42,394503.7,454171.5,1391995.3,1884905.18,2003555.3,1577791.3,1435377.6,376620.10,1491.958,716544.4,349741.6,436308.17,2597224.3,1408281.4,655811.4,1647103.3,489703.3,190304.8,379066.3,813.178,1423720.4,1945871.3,415426.13,1437881.3,126741.4,166793.3,1548207.7,1946522.3,679936.5
ATP-dependent DNA helicase RecG (EC 3.6.4.12)	LSU ribosomal protein L32p	1294039.3,454171.5,938289.3,2183990.3,521095.6,1884905.18,525909.11,1002870.3,754252.34,525904.6,266117.10
Protein translocase subunit SecY	SSU ribosomal protein S2e (S5p)	415426.13,406327.12,64091.14,1915863.3,349307.15,436308.17,272844.11,374847.13,1577791.3,1435377.6,263820.9,339860.19
Methionine ABC transporter ATP-binding protein	Methionine ABC transporter substrate-binding protein	1639.4260,608534.3,1882918.15,2183990.3,1491.958,727.1550,1423720.4,2069310.3,572547.3,1260.19,479434.6,518.42,655811.4,159.151,1437881.3,938289.3,190304.8,166793.3,796939.3,1946251.3,1946798.3,2702.133,754252.34,1947072.3
Efflux ABC transporter, ATP-binding protein	Efflux ABC transporter, permease protein	1121447.3,2183990.3,1737569.3,980251.5,1521403.3,263820.9,309798.4,525904.6,1432327.4,1805053.3,795359.3,525909.11,754252.34,266117.10,1639.4260,2605989.3,926569.3,2069310.3,445932.6,1002870.3,1260.19,479434.6,479430.3,1123388.3,518.42,394503.7,1391995.3,1884905.18,2003555.3,1560006.3,1435377.6,376620.10,406327.12,1491.958,2023178.18,1946283.3,436308.17,374847.13,655811.4,1647103.3,1947784.3,489703.3,190304.8,1946934.3,379066.3,1946251.3,481448.7,272844.11,2702.133,1947072.3,339860.19,444157.8,1332188.3,2162266.3,1079.16,1919250.3,1946294.3,1946269.3,415426.13,1437881.3,126741.4,166793.3,59620.1701,349307.15,397948.10,1946522.3,926550.5,166.4,679936.5
Osmosensitive K+ channel histidine kinase KdpD	Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)	1639.4260,2490941.3,2183990.3,1491.958,1521403.3,2023178.18,349741.6,1260.19,2597224.3,479430.3,518.42,525904.6,2067454.3,454171.5,1437881.3,489703.3,938289.3,379066.3,525909.11,1946522.3,679936.5
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	Chorismate mutase I (EC 5.4.99.5)	379066.3,1560006.3,397948.10,1260.19,1435377.6,1121911.3,1408281.4,157176.8,655811.4,266117.10
(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin) (EC 1.17.7.3)	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	583355.3,608534.3,1491.958,2069310.3,2200854.3,445932.6,572547.3,1002870.3,1260.19,1408281.4,309798.4,655811.4,394503.7,938289.3,521095.6,2003555.3,1946251.3,1946798.3,525909.11,1946522.3,754252.34,1121911.3,679936.5,266117.10
ABC transporter, ATP-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)	ABC transporter, permease protein (cluster 10, nitrate/sulfonate/bicarbonate)	1121447.3,2490941.3,406327.12,1491.958,1737569.3,349741.6,436308.17,374847.13,309798.4,525904.6,159.151,1704307.4,1805053.3,59196.3,525909.11,2702.133,1121911.3,339860.19,444157.8,608534.3,926569.3,479430.3,1123388.3,518.42,394503.7,1560006.3,1548207.7,926550.5,679936.5
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	Dethiobiotin synthase BioD (EC 6.3.3.3)	1121447.3,727.1550,2023178.18,1945871.3,159.151,1609969.5,938289.3,190304.8,166793.3,1946934.3,379066.3,376620.10,679936.5
Chromosome partition protein smc	LSU ribosomal protein L32p, zinc-dependent	1432327.4,938289.3,521095.6,1491.958,166793.3,1884905.18,525909.11,1002870.3,1260.19,754252.34,655811.4
Cobalt-precorrin-3 C(17)-methyltransferase (EC 2.1.1.272)	Cobalt-precorrin-8 methylmutase (EC 5.4.99.60)	1639.4260,444157.8,1737569.3,349307.15,525909.11,1577791.3,1435377.6,479430.3,1121911.3,1947072.3,679936.5,266117.10
4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)	2490941.3,1437881.3,1609969.5,1647103.3,489703.3,1719125.3,203907.6,428411.4,1715285.3,157176.8,36868.4
RNA polymerase sigma factor RpoD	tRNA (adenine(22)-N(1))-methyltransferase (EC 2.1.1.217)	1639.4260,1491.958,1423720.4,28227.8,1260.19,655811.4,394503.7,1408417.3,938289.3,37692.4,1121911.3,243273.25,295596.4
Cell division protein FtsQ	Cell division protein FtsZ	1121447.3,583355.3,1737569.3,1521403.3,2023178.18,572547.3,1408281.4,525904.6,655811.4,2067454.3,1647103.3,1947784.3,521095.6,190304.8,59196.3,1749045.3,203907.6,795359.3,2024841.10,525909.11,481448.7,754252.34,266117.10,1639.4260,608534.3,727.1550,926569.3,445932.6,1260.19,2162266.3,1919250.3,479434.6,518.42,394503.7,454171.5,1437881.3,938289.3,1391995.3,456827.3,376620.10
Translation elongation factor Tu	tRNA-Gly-TCC	1121447.3,1437881.3,1947784.3,727.1550,456827.3,1749045.3,795359.3,445932.6,210.5028,309798.4,2601646.3,36868.4
8-amino-7-oxononanoate synthase (EC 2.3.1.47)	Biotin synthase (EC 2.8.1.6)	583355.3,436308.17,2597224.3,36868.4,1437881.3,1609969.5,489703.3,1719125.3,166793.3,1946934.3,379066.3,59196.3,428411.4,1715285.3,679936.5
